,03012946,-81.48788,25.22007,122.015
,03013446,-81.48722,25.24742,123.226
,03013946,-81.48682,25.27206,129.955
,03013946,-81.4866,25.28129,143.788
,03013972,-81.48441,25.29239,146.872
,03014336,-81.478,25.30962,155.863
,03014446,-81.47683,25.34038,159.088
,03014946,-81.47622,25.38099,161.995
,03020445,-81.4733,25.39155,168.879
,03022858,-81.46459,25.39968,172.237
,03022943,-81.4638,25.40014,171.754
,03143539,-81.46374,25.40947,170.849
,06180037,-81.46304,25.41095,166.896
,16020013,-81.44118,25.42669,160.633
,16034623,-81.44053,25.50625,157.042
,16041624,-81.4355,25.51994,151.390
,16042123,-81.42952,25.52366,147.937
,16043123,-81.42751,25.57688,137.465
,16043622,-81.42633,25.59027,123.853
,16044121,-81.42169,25.6107,126.511